label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
0,123,0,373,338,face-1000.jpg,500,500
0,21,0,398,330,face-1004.jpg,500,500
0,0,3,436,346,face-1007.jpg,500,500
0,17,2,441,333,face-1009.jpg,500,500
0,80,0,396,407,face-1010.jpg,500,500
0,24,0,403,336,face-1015.jpg,500,500
0,49,1,385,348,face-1016.jpg,500,500
0,65,0,368,339,face-139.jpg,500,500
0,0,0,495,333,face-141.jpg,500,500
0,29,0,433,341,face-151.jpg,500,500
0,54,0,415,345,face-152.jpg,500,500
0,58,0,423,346,face-154.jpg,500,500
0,31,0,433,336,face-157.jpg,500,500
0,33,11,411,329,face-160.jpg,500,500
0,26,0,464,333,face-167.jpg,500,500
0,17,0,450,346,face-199.jpg,500,500
0,38,0,442,351,face-218.jpg,500,500
0,21,0,451,347,face-243.jpg,500,500
0,2,1,489,334,face-269.jpg,500,500
0,38,6,424,325,face-318.jpg,500,500
0,50,0,376,334,face-319.jpg,500,500
0,14,0,476,341,face-320.jpg,500,500
0,47,12,439,321,face-322.jpg,500,500
0,43,1,437,339,face-404.jpg,500,500
0,42,0,455,357,face-412.jpg,500,500
0,41,3,387,325,face-433.jpg,500,500
0,0,6,390,323,face-435.jpg,500,500
0,34,1,398,341,face-436.jpg,500,500
0,78,6,374,339,face-437.jpg,500,500
0,35,3,378,338,face-439.jpg,500,500
0,64,7,366,333,face-440.jpg,500,500
0,7,5,466,336,face-442.jpg,500,500
0,42,5,411,331,face-444.jpg,500,500
0,20,0,434,358,face-445.jpg,500,500
0,30,4,436,338,face-446.jpg,500,500
0,53,1,424,339,face-448.jpg,500,500
0,10,4,423,333,face-450.jpg,500,500
0,61,11,408,327,face-451.jpg,500,500
0,44,10,438,317,face-452.jpg,500,500
0,57,6,362,339,face-454.jpg,500,500
0,56,7,419,315,face-455.jpg,500,500
0,69,0,383,355,face-456.jpg,500,500
0,22,0,400,342,face-457.jpg,500,500
0,7,0,409,331,face-458.jpg,500,500
0,102,3,390,332,face-459.jpg,500,500
0,15,6,379,325,face-460.jpg,500,500
0,16,0,418,335,face-466.jpg,500,500
0,31,0,455,344,face-548.jpg,500,500
0,42,0,448,344,face-550.jpg,500,500
0,34,0,450,347,face-552.jpg,500,500
0,39,0,452,337,face-583.jpg,500,500
0,27,0,469,334,face-584.jpg,500,500
0,15,0,437,343,face-585.jpg,500,500
0,6,0,487,330,face-586.jpg,500,500
0,54,0,384,331,face-587.jpg,500,500
0,11,0,422,327,face-589.jpg,500,500
0,0,0,454,342,face-590.jpg,500,500
0,65,6,419,332,face-593.jpg,500,500
0,70,0,421,345,face-594.jpg,500,500
0,45,0,449,341,face-595.jpg,500,500
0,62,1,434,338,face-596.jpg,500,500
0,61,0,418,349,face-597.jpg,500,500
0,64,2,426,336,face-598.jpg,500,500
0,55,1,425,342,face-599.jpg,500,500
0,33,0,443,350,face-600.jpg,500,500
0,51,2,433,333,face-601.jpg,500,500
